CATEGORY,INDEX,NORAD_CAT_ID_1,OBJECT_NAME_1,SHAPE_1,OBJECT_CLASS_1,NORAD_CAT_ID_2,OBJECT_NAME_2,SHAPE_2,OBJECT_CLASS_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,DILUTION,RADIUS_1,RADIUS_2,HBR,PC_CELESTRAK,PC_SPACEMAP,ERROR(RATIO)
spacemap,227,57144,STARLINK-5150 [+],,Unknown,10262,DELTA 1 DEB [-],Unknown,Unknown,2023-09-30 00:37:46.072,0.28837042165378357,6.55,0.074,0.001,0.0003,0.0013,4.861e-05,2.2428426879099854e-05,0.46139532769183
Celestrak,243,56697,STARLINK-30130 [+],,Unknown,54413,CZ-6A DEB [-],Unknown,Unknown,2023-10-01 03:23:57.289,0.294,13.182,0.12,0.001,0.0003,0.0013,2.945e-05,2.15646704765328e-05,0.0
spacemap,243,56697,STARLINK-30130 [+],,Unknown,54413,CZ-6A DEB [-],Unknown,Unknown,2023-10-01 03:23:57.289,0.29408912214771,13.182,0.12,0.001,0.0003,0.0013,2.945e-05,2.15646704765328e-05,0.7322468752642716
Celestrak,247,56414,STARLINK-5136 [+],,Unknown,37851,DICE-F [-],Unknown,Unknown,2023-09-29 02:49:14.015,0.298,10.335,0.092,0.001,0.0015,0.0025,3.804e-05,7.77443641269305e-05,0.0
spacemap,247,56414,STARLINK-5136 [+],,Unknown,37851,DICE-F [-],Unknown,Unknown,2023-09-29 02:49:14.015,0.29784889290267946,10.335,0.092,0.001,0.0015,0.0025,3.804e-05,7.77443641269305e-05,2.04375300018219
Celestrak,253,57290,STARLINK-30198 [+],,Unknown,40038,FLOCK 1C-5 [-],Unknown,Unknown,2023-10-01 03:11:51.832,0.302,13.695,0.136,0.001,0.0015,0.0025,1.241e-05,7.554434744177321e-05,0.0
spacemap,253,57290,STARLINK-30198 [+],,Unknown,40038,FLOCK 1C-5 [-],Unknown,Unknown,2023-10-01 03:11:51.832,0.30215522624582886,13.695,0.136,0.001,0.0015,0.0025,1.241e-05,7.554434744177321e-05,6.087376909087285
Celestrak,270,56726,IRIDIUM 181 [+],,Unknown,34011,COSMOS 2251 DEB [-],Unknown,Unknown,2023-09-29 23:18:38.780,0.316,8.981,0.09,0.001,0.0003,0.0013,3.64e-05,1.8662464541490726e-05,0.0
spacemap,270,56726,IRIDIUM 181 [+],,Unknown,34011,COSMOS 2251 DEB [-],Unknown,Unknown,2023-09-29 23:18:38.780,0.3161307436095341,8.981,0.09,0.001,0.0003,0.0013,3.64e-05,1.8662464541490726e-05,0.5127050698211738
Celestrak,279,57580,OBJECT A [+],,Unknown,12987,COSMOS 1328 [?],Unknown,Unknown,2023-09-28 14:01:10.497,0.322,15.142,0.228,0.001,0.0015,0.0025,1.418e-05,6.64390162489788e-05,0.0
